word,pos,cefr_level,uzbek_translation
singing,n.,A2,kuylash
single,"adj., n.",A2,yakka
sir,n.,A2,janob
site,n.,A2,"joy, sayt"
size,n.,A2,o'lcham
ski,"v., adj., n.",A2,chang'ida uchmoq
skiing,n.,A2,chang'ida uchish
skin,n.,A2,teri
sky,n.,A2,osmon
sleep,n.,A2,uyqu
slowly,adv.,A2,sekin
smartphone,n.,A2,smartfon
smell,"v., n.",A2,hidlamoq; hid
smile,"v., n.",A2,jilmaymoq; tabassum
smoke,"n., v.",A2,tutun; chekmoq
smoking,n.,A2,smoking
sneaker,n.,A2,krossovka
soap,n.,A2,sovun
soccer,n.,A2,futbol
social,adj.,A2,ijtimoiy
society,n.,A2,jamiyat
sock,n.,A2,paypoq
soft,adj.,A2,yumshoq
soldier,n.,A2,askar
solution,n.,A2,yechim
solve,v.,A2,hal qilmoq
somewhere,"adv., pron.",A2,qayerdadir
sort,n.,A2,"nav, tur"
source,n.,A2,manba
speaker,n.,A2,so'zlovchi
specific,adj.,A2,aniq
speech,n.,A2,nutq
speed,n.,A2,tezlik
spider,n.,A2,o'rgimchak
spoon,n.,A2,qoshiq
square,"adj., n.",A2,kvadrat; maydon
stage,n.,A2,sahna
stair,n.,A2,zina
stamp,n.,A2,marka
star,v.,A2,bosh rol o'ynamoq
start,n.,A2,boshlash
state,n.,A2,shtat; holat
stay,n.,A2,qolish
steal,v.,A2,o'g'irlamoq
step,n.,A2,qadam
stomach,n.,A2,oshqozon
stone,n.,A2,tosh
storm,"n., v.",A2,bo'ron; hujum qilmoq
stove,n.,A2,plita
straight,"adv., adj.",A2,to'g'ri
strange,adj.,A2,g'alati
strategy,n.,A2,strategiya
stress,"n., v.",A2,stres; ta'kidlamoq
structure,n.,A2,tuzilish
stupid,adj.,A2,ahmoqona
subway,n.,A2,metro
succeed,v.,A2,muvaffaqiyat qozonmoq
successful,adj.,A2,muvaffaqiyatli
such,det./pron.,A2,shundayin
suddenly,adv.,A2,birdaniga
suggest,v.,A2,tavsiya etmoq
suggestion,n.,A2,tavsiya
suit,n.,A2,kostyum
support,"v., n.",A2,qo'llab-quvvatlamoq; yordam
suppose,v.,A2,tahmin etmoq
sure,adv.,A2,aniq
surprise,"n., v.",A2,surpriz; hayron qoldirmoq
surprised,adj.,A2,hayratlangan
surprising,adj.,A2,hayratlanarli
survey,n.,A2,so'rovnoma
sweet,"adj., n.",A2,shirin; shirinlik
symbol,n.,A2,ramz
system,n.,A2,tizim
tablet,n.,A2,planshet
talk,n.,A2,suhbat
target,n.,A2,mo'ljal
task,n.,A2,vazifa
taste,"n., v.",A2,ta'm; tatib ko'rmoq
teaching,n.,A2,o'qitish
technology,n.,A2,texnologiya
teenage,adj.,A2,o'spirin
temperature,n.,A2,harorat
term,n.,A2,"termin, semestr"
text,v.,A2,xabar yozmoq
themselves,pron.,A2,o'zlari
thick,adj.,A2,qalin
thief,n.,A2,o'g'ri
thin,adj.,A2,yupqa
thinking,n.,A2,o'ylash
third,n.,A2,uchdan biri
thought,n.,A2,"o'y, fikr"
throw,v.,A2,otib yubormoq
tie,"v., n.",A2,bog'lamoq; galstuk
tip,n.,A2,maslahat
tool,n.,A2,uskuna
top,"n., adj.",A2,"tepa, yuqori"
touch,v.,A2,tegmoq
tour,n.,A2,sayohat
tourism,n.,A2,turizm
toward,prep.,A2,…ga tomon
towel,n.,A2,sochiq
tower,n.,A2,minora
toy,"n., adj.",A2,o'yinchoq
track,n.,A2,yo'l
tradition,n.,A2,an'ana
traditional,adj.,A2,an'anaviy
train,v.,A2,mashq qilmoq
training,n.,A2,mashq
transportation,n.,A2,transportatsiya
trash,n.,A2,axlat
traveler,n.,A2,sayohatchi
trouble,n.,A2,muammo
twin,"n., adj.",A2,egizak
typical,adj.,A2,odatiy
underground,"adj., adv.",A2,yer osti
understanding,n.,A2,tushunish
unfortunately,adv.,A2,afsuski
unhappy,adj.,A2,baxtsiz
uniform,n.,A2,forma
unit,n.,A2,bo'lim
united,adj.,A2,birlashgan
unusual,adj.,A2,noodatiy
upstairs,adj.,A2,tepa qavatdagi
use,n.,A2,foyda
used to,modal v.,A2,…qilardi
user,n.,A2,foydalanuvchi
usual,adj.,A2,odatiy
valley,n.,A2,voha
variety,n.,A2,turlilik
vehicle,n.,A2,mashina
view,n.,A2,manzara
village,n.,A2,qishloq
virus,n.,A2,virus
voice,n.,A2,ovoz
wait,n.,A2,kutish
war,n.,A2,urush
wash,n.,A2,yuvish
washing,n.,A2,yuvish
wave,n.,A2,to'lqin
weak,adj.,A2,ojiz
web,n.,A2,"to'r, veb"
wedding,n.,A2,to'y
weight,n.,A2,vazn
welcome,n.,A2,qabul
wet,adj.,A2,nam
wheel,n.,A2,g'ildirak
while,conj.,A2,mobaynida
whole,adj.,A2,butun
whose,det./pron.,A2,kimning
wide,adj.,A2,keng
wild,adj.,A2,yovvoyi
wind,n.,A2,shamol
winner,n.,A2,g'olib
wish,"v, n.",A2,tilak tilamoq; tilak
wood,n.,A2,yog'och
wooden,adj.,A2,yog'ochdan qilingan
working,adj.,A2,ishlab turgan
worried,adj.,A2,havotirda
worry,v.,A2,havotir olmoq
worse,adj.,A2,yomonroq
worst,adj.,A2,eng yomon
wow,exclam.,A2,ajabo
yet,adv.,A2,hali
yours,pron.,A2,seniki
zero,number,A2,nol
absolutely,adv.,B1,"butunlay, nihoyatda"
academic,adj.,B1,akademik
access,"n., v.",B1,"ruxsat, kirish; kirmoq"
account,n.,B1,akkaunt
achievement,n.,B1,yutuq
act,n.,B1,harakat
ad,n.,B1,reklama
addition,n.,B1,qo'shimcha
administration,n.,B1,boshqaruv
admire,v.,B1,ardoqlamoq
admit,v.,B1,tan olmoq
advanced,adj.,B1,rivojlangan
advise,v.,B1,maslahat bermoq
afford,v.,B1,qurbi yetmoq
age,v.,B1,qarimoq
agent,n.,B1,agent
agreement,n.,B1,rozilik
ahead,adv.,B1,oldin(da)
aim,"v., n.",B1,mo'ljallamoq; maqsad
alarm,n.,B1,signal
album,n.,B1,albom
alcohol,n.,B1,alkogol
alcoholic,adj.,B1,alkogolga oid
alternative,adj.,B1,muqobil
amazed,adj.,B1,hayratlangan
ambition,n.,B1,maqsad
analysis,n.,B1,tahlil
announce,v.,B1,e'lon qilmoq
announcement,n.,B1,e'lon
annoy,v.,B1,jig'iga tegmoq
annoyed,adj.,B1,asabiy
annoying,adj.,B1,asabga tegadigan
apart,adv.,B1,ayro
apologize,v.,B1,kechirim so'ramoq
application,n.,B1,ariza
appointment,n.,B1,uchrashuv
appreciate,v.,B1,qadrlamoq
approximately,adv.,B1,tahminan
arrest,"v., n.",B1,hibsga olmoq; hibs
arrival,n.,B1,yetib kelish
assignment,n.,B1,vazifa
assist,v.,B1,yordam bermoq
atmosphere,n.,B1,atmosfera
attach,v.,B1,ulamoq
attitude,n.,B1,munosabat
attract,v.,B1,jalb qilmoq
attraction,n.,B1,atraksion
authority,n.,B1,hukumat
automatic,adj.,B1,avtomatik
automatically,adv.,B1,avtomatik tarzda
average,v.,B1,o'rtacha
award,v.,B1,mukofotlamoq
aware,adj.,B1,ogoh
backward,adv.,B1,orqaga
bake,v.,B1,pishirmoq
balance,"n., v.",B1,muvozanat; muvozanat saqlamoq
ban,"v., n.",B1,taqiqlamoq; taqiq
bank,n.,B1,qirg'oq
base,"n., v.",B1,asos; asoslanmoq
basic,adj.,B1,asosiy
basis,n.,B1,asos
battery,n.,B1,batareya
battle,n.,B1,jang
beauty,n.,B1,chiroy
bee,n.,B1,"ari, asalari"
belief,n.,B1,ishonch
bell,n.,B1,qo'ng'iroq
bend,"v., n.",B1,egmoq; egilish
benefit,v.,B1,foyda ko'rmoq
better,n.,B1,yaxshirog'i
bite,"v., n.",B1,tishlamoq; tishlash
block,v.,B1,bloklamoq
board,v.,B1,(samolyot)ga minmoq
bomb,"n., v.",B1,bomba; portlatmoq
border,n.,B1,chegara
bother,v.,B1,bezovta qilmoq
branch,n.,B1,"shox, tarmoq"
brand,"n., v.",B1,brend; tamg'alamoq
brave,adj.,B1,mard
breath,n.,B1,nafas
breathe,v.,B1,nafas olmoq
breathing,n.,B1,nafas olish
bride,n.,B1,kelin
bubble,n.,B1,pufakcha
bury,v.,B1,ko'mmoq
by,adv.,B1,tomonidan
cable,n.,B1,kabel
calm,"adj., v., n.",B1,sokin; tinchlantirmoq; tinchlik
campaign,"n., v.",B1,kampaniya; namoyish qilmoq
candidate,n.,B1,nomzod
cap,n.,B1,"shlyapa, qopqoq"
captain,n.,B1,kapitan
careless,adj.,B1,beparvo
category,n.,B1,kategoriya
ceiling,n.,B1,shift
celebration,n.,B1,nishonlash
center,v.,B1,markazlashtirmoq
central,adj.,B1,markaziy
ceremony,n.,B1,marosim
chain,n.,B1,zanjir
challenge,n.,B1,mashaqqat
champion,n.,B1,chempion
channel,n.,B1,kanal
chapter,n.,B1,bo'lim
charge,"n., v.",B1,zaryad; zaryadlamoq
cheap,adv.,B1,arzon
cheat,"v., n.",B1,g'irromlik qilmoq; aldash
cheerful,adj.,B1,quvnoq
chemical,"adj., n.",B1,kimyoviy; ximikat
chest,n.,B1,ko'krak
childhood,n.,B1,bolalik
claim,"v., n.",B1,ta'kidlamoq; ta'kid
clause,n.,B1,gap bo'lagi
clear,v.,B1,tozalamoq
clever,adj.,B1,aqlli
click,"v., n.",B1,(sichqoncha) bosmoq; bosish
client,n.,B1,mijoz
climb,n.,B1,tirmashish
close,adv.,B1,yaqin
cloth,n.,B1,mato
clue,n.,B1,kalit
coach,v.,B1,murabbiylik qilmoq
coal,n.,B1,ko'mir
coin,n.,B1,tanga
collection,n.,B1,kolleksiya
colored,adj.,B1,rangli
combine,v.,B1,birlashtirmoq
comment,v.,B1,izoh bermoq
commercial,"adj., n.",B1,tijoratga oid
commit,v.,B1,bajarmoq
communication,n.,B1,aloqa
comparison,n.,B1,taqqoslash
competitive,adj.,B1,raqobatbardosh
competitor,n.,B1,raqobatchi
complaint,n.,B1,shikoyat
complex,adj.,B1,murakkab
concentrate,v.,B1,e'tiborini jamlamoq
conclude,v.,B1,xulosa qilmoq
conclusion,n.,B1,xulosa
confident,adj.,B1,dadil
confirm,v.,B1,tasdiqlamoq
confuse,v.,B1,chalkashtirmoq
confused,adj.,B1,chalkashgan
connection,n.,B1,aloqa
consequence,n.,B1,natija
consist,v.,B1,tashkil etmoq
consume,v.,B1,iste'mol qilmoq
consumer,n.,B1,iste'molchi
contact,"n., v.",B1,aloqa; bog'lanmoq
container,n.,B1,idish
content,n.,B1,tarkib
continuous,adj.,B1,davomiy
contrast,"n., v.",B1,farq; farq etmoq
convenient,adj.,B1,qulay
convince,v.,B1,ko'ndirmoq
cool,v.,B1,sovutmoq
corn,n.,B1,makkajo'xori
costume,n.,B1,kostyum
cotton,n.,B1,paxta
count,n.,B1,sanash
countryside,n.,B1,qishloq
court,n.,B1,sud
cover,n.,B1,qoplama
covered,adj.,B1,qoplangan
cream,adj.,B1,kremli
criminal,adj.,B1,jinoiy
cruel,adj.,B1,shafqatsiz
cultural,adj.,B1,madaniy
cupboard,n.,B1,javon
currency,n.,B1,valyuta
current,adj.,B1,hozirgi
currently,adv.,B1,hozirda
curtain,n.,B1,parda
custom,n.,B1,odat
cut,n.,B1,kesik
daily,adv.,B1,har kuni
damage,"n., v.",B1,zarar; ziyon yetkazmoq
deal,n.,B1,kelishuv
decade,n.,B1,o'n yillik
deep,adv.,B1,chuqur
define,v.,B1,ta'riflamoq
definite,adj.,B1,aniq
definition,n.,B1,ta'rif
deliver,v.,B1,yetkazib bermoq
departure,n.,B1,jo'nash
despite,prep.,B1,…ga qaramasdan
destination,n.,B1,manzilgoh
determine,v.,B1,aniqlamoq
determined,adj.,B1,qat'iy
development,n.,B1,rivojlanish
diagram,n.,B1,diagramma
diamond,n.,B1,olmos
difficulty,n.,B1,qiyinchilik
direct,"v., adv.",B1,yo'naltirmoq; to'g'ridan-to'g'ri
directly,adv.,B1,to'g'ri
dirt,n.,B1,"kir, loy"
disadvantage,n.,B1,kamchilik
disappointed,adj.,B1,ranjigan
disappointing,adj.,B1,ranjitadigan
discount,n.,B1,chegirma
dislike,"v., n.",B1,yomon ko'rmoq; yoqtirmaslik
district,n.,B1,tuman
divide,v.,B1,bo'lmoq
documentary,n.,B1,hujjatli film
donate,v.,B1,pul bermoq
double,adv.,B1,ikki
doubt,"n., v.",B1,shubha; shubhalanmoq
dressed,adj.,B1,kiyingan
drop,n.,B1,tomchi
drum,n.,B1,baraban
drunk,adj.,B1,mast
due,adj.,B1,belgilangan
dust,n.,B1,chang
duty,n.,B1,burch
earthquake,n.,B1,zilzila
eastern,adj.,B1,sharqiy
economic,adj.,B1,iqtisodiy
economy,n.,B1,iqtisodiyot
edge,n.,B1,chekkasi
editor,n.,B1,muharrir
educate,v.,B1,o'qitmoq
educated,adj.,B1,o'qimishli
educational,adj.,B1,ta'limga oid
effective,adj.,B1,samarali
effectively,adv.,B1,samarali tarzda
effort,n.,B1,urinish
election,n.,B1,saylov
element,n.,B1,element
embarrassed,adj.,B1,uyalib qolgan
embarrassing,adj.,B1,uyatga qo'yadigan
emergency,n.,B1,favqulotda vaziyat
emotion,n.,B1,hissiyot
employment,n.,B1,ishga olish
empty,v.,B1,bo'shatmoq
encourage,v.,B1,shijoatlantirmoq
enemy,n.,B1,dushman
engaged,adj.,B1,unashtirilgan
engineering,n.,B1,muhandislik
entertain,v.,B1,vaqtichog'lik qilmoq
entertainment,n.,B1,ko'ngilochar narsa
entrance,n.,B1,kirish
entry,n.,B1,kirish qismi
environmental,adj.,B1,atrof-muhitga oid
episode,n.,B1,qism
equal,"adj., v.",B1,teng; teng bo'lmoq
equally,adv.,B1,teng ravishda
escape,"v., n.",B1,qochmoq; qochish
essential,adj.,B1,juda muhim
eventually,adv.,B1,nihoyat
examine,v.,B1,tekshirmoq
except,conj.,B1,…dan tashqari
exchange,"n., v.",B1,almashinish; almashtirmoq
excitement,n.,B1,his-hayajon
exhibition,n.,B1,ko'rgazma
exit,n.,B1,chiqish
expand,v.,B1,kengaymoq
expected,adj.,B1,kutilgan
experience,v.,B1,tajribadan o'tkazmoq
experienced,adj.,B1,tajribali
experiment,v.,B1,tajriba o'tkazmoq
explode,v.,B1,portlamoq
explore,v.,B1,kashf etmoq
explosion,n.,B1,portlash
export,"n., v.",B1,eksport; eksport qilmoq
extra,"n., adv.",B1,qo'shimcha
face,v.,B1,duch kelmoq
fairly,adv.,B1,ancha
familiar,adj.,B1,tanish
fancy,adj.,B1,hashamatli
far,adj.,B1,uzoq
fascinating,adj.,B1,ajoyib
fashionable,adj.,B1,zamonaviy
fasten,v.,B1,mahkamlamoq
favor,n.,B1,yordam
fear,v.,B1,qo'rqmoq
feature,v.,B1,o'z ichiga olmoq
federal,adj.,B1,federal
fence,n.,B1,to'siq
fighting,n.,B1,kurashish
file,n.,B1,"hujjat, fayl"
financial,adj.,B1,moliyaviy
fitness,n.,B1,tetiklik
fixed,adj.,B1,qotib qolgan
flag,n.,B1,bayroq
flood,"n., v.",B1,suv toshqini; toshmoq
flour,n.,B1,un
flow,"v., n.",B1,oqmoq; oqim
fold,v.,B1,bukmoq
folk,"n., adj.",B1,milliy musiqa; an'anaviy
following,n.,B1,quyidagi narsa
force,"n., v.",B1,kuch; majburlamoq
forever,adv.,B1,umrbod
frame,"n., v.",B1,ramka; ramkalamoq
freeze,v.,B1,muzlamoq
frequently,adv.,B1,tez-tez
friendship,n.,B1,do'stlik
frighten,v.,B1,qo'rqitmoq
frightened,adj.,B1,qo'rqqan
frightening,adj.,B1,qo'rqinchli
frozen,adj.,B1,muzlagan
fry,v.,B1,qovurmoq
fuel,n.,B1,yonilg'i
function,n.,B1,vazifa
fur,n.,B1,jun
further,adv.,B1,uzoqroq
garage,n.,B1,garaj
gather,v.,B1,to'plamoq
generally,adv.,B1,umuman
generation,n.,B1,avlod
generous,adj.,B1,saxiy
gentle,adj.,B1,muloyim
gentleman,n.,B1,janob
ghost,n.,B1,arvoh
giant,"adj., n.",B1,ulkan
glad,adj.,B1,mamnun
global,adj.,B1,global
glove,n.,B1,qo'lqop
go,n.,B1,urinish
grade,n.,B1,"sinf, baho"
graduate,"n., v.",B1,bitiruvchi; bitirmoq
grain,n.,B1,don
grateful,adj.,B1,minnatdor
growth,n.,B1,ulg'ayish
guard,"n., v.",B1,qo'riqchi; qo'riqlamoq
guilty,adj.,B1,aybdor
hand,v.,B1,bermoq
hang,v.,B1,osmoq
happiness,n.,B1,baxt
hardly,adv.,B1,deyarli yo'q
hate,n.,B1,nafrat
head,v.,B1,yo'lga tushmoq
headline,n.,B1,sarlavha
heating,n.,B1,isitish
heavily,adv.,B1,ko'p darajada
helicopter,n.,B1,vertolyot
highlight,"v., n.",B1,ajratib ko'rsatmoq; muhim qismi
highly,adv.,B1,juda
highway,n.,B1,shosse
hire,v.,B1,yollamoq
historic,adj.,B1,ahamiyatli
historical,adj.,B1,tarixiy
honest,adj.,B1,to'g'riso'z
horrible,adj.,B1,daxshatli
horror,n.,B1,qo'rqinchli narsa
host,n.,B1,mezbon
hunt,v.,B1,ovlamoq
hurricane,n.,B1,to'fon
hurry,"n., v.",B1,shoshilish; shoshilmoq
identity,n.,B1,shaxsiyat
ignore,v.,B1,e'tiborsizlik qilmoq
illegal,adj.,B1,noqonuniy
imaginary,adj.,B1,hayoliy
immediate,adj.,B1,darhol bo'ladigan
immigrant,n.,B1,muhojir
impact,"n., v.",B1,ta'sir; ta'sir qilmoq
import,"n., v.",B1,import; import qilmoq
importance,n.,B1,ahamiyat
impression,n.,B1,taassurot
impressive,adj.,B1,hayron qoldiradigan
improvement,n.,B1,yaxshilanish
incredibly,adv.,B1,nihoyatda
indeed,adv.,B1,haqiqatan
indicate,v.,B1,ko'rsatmoq
indirect,adj.,B1,noaniq
indoor,adj.,B1,ichki
indoors,adv.,B1,ichkari
influence,"n., v.",B1,ta'sir; ta'sir qilmoq
ingredient,n.,B1,masalliq
injure,v.,B1,shikast yetkazmoq
injured,adj.,B1,shikastlangan
innocent,adj.,B1,aybsiz
intelligence,n.,B1,"aql, idrok"
intend,v.,B1,niyat qilmoq
intention,n.,B1,niyat
invest,v.,B1,investitsiya qilmoq
investigate,v.,B1,izlanish olib bormoq
involved,adj.,B1,ishtirok etayotgan
iron,"n., v.",B1,"temir, dazmol; dazmollamoq"
issue,n.,B1,masala
IT,n.,B1,axborot texnologiyalari
journal,n.,B1,jurnal
journey,n.,B1,sayohat
judge,"n., v.",B1,sudya; baho bermoq
key,v.,B1,klaviaturada yozmoq
keyboard,n.,B1,klaviatura
kick,"v., n.",B1,tepmoq; tepki
killing,n.,B1,o'ldirish
kind,adj.,B1,mehribon
kiss,"v., n.",B1,o'pmoq; bo'sa
knock,n.,B1,urish
label,"n., v.",B1,etiketka; nom bermoq
laboratory,n.,B1,labaratoriya
lack,"n., v.",B1,yetishmovchilik; yetishmaslik
latest,adj.,B1,so'nggi
lay,v.,B1,yotqizmoq
layer,n.,B1,qatlam
lead,n.,B1,peshqadam
leading,adj.,B1,bosh
leaf,n.,B1,yaproq
leather,n.,B1,charm
legal,adj.,B1,qonuniy
leisure,n.,B1,hordiq
length,n.,B1,uzunlik
level,adj.,B1,daraja
lie,"v., n.",B1,aldamoq; yolg'on
like,n.,B1,yoqtirmoq
limit,"n., v.",B1,cheklov; cheklamoq
lip,n.,B1,lab
liquid,"n., adj.",B1,suyuqlik
literature,n.,B1,adabiyot
live,"adj., adv.",B1,jonli efirda
living,"adj., n.",B1,tirik; yashash
local,n.,B1,mahalliy odam
locate,v.,B1,joylashmoq
located,adj.,B1,joylashgan
location,n.,B1,manzil
lonely,adj.,B1,yolg'iz
loss,n.,B1,yo'qotish
luxury,n.,B1,dabdaba
mad,adj.,B1,esdan og'gan
magic,"n., adj.",B1,sehr; mo'jizali
mainly,adv.,B1,asosan
management,n.,B1,boshqaruv
market,v.,B1,sotuvga chiqarmoq
marketing,n.,B1,marketing
marriage,n.,B1,nikoh
meanwhile,adv.,B1,ayni paytda
measure,"v., n.",B1,o'lchamoq; o'lchov
medium,adj.,B1,o'rtacha
mental,adj.,B1,aqliy
mention,n.,B1,qayd
mess,n.,B1,tartibsizlik
mild,adj.,B1,yumshoq
mine,n.,B1,kon
mix,"v., n.",B1,aralashtirmoq; birikma
mixture,n.,B1,qorishma
mood,n.,B1,kayfiyat
move,n.,B1,harakat
mud,n.,B1,loy
murder,"n., v.",B1,qotillik; o'ldirmoq
muscle,n.,B1,muskul
musical,n.,B1,musiqiy
mystery,n.,B1,sir-sinoat
nail,n.,B1,mix
narrative,"n., adj.",B1,hikoya
nation,n.,B1,millat
native,"adj., n.",B1,shu yerlik
naturally,adv.,B1,tabiiyki
neat,adj.,B1,tartibli
necessarily,adv.,B1,shart
need,modal v.,B1,muhtoj bo'lmoq
needle,n.,B1,igna
neither,adv.,B1,"ham, na"
net,n.,B1,to'r
next,n.,B1,keyingisi
nor,conj./adv.,B1,"ham, na"
normal,n.,B1,perpendikulyar chiziq
northern,adj.,B1,shimoliy
note,v.,B1,qayd qilmoq
now,conj.,B1,endi
nuclear,adj.,B1,yadroviy
obvious,adj.,B1,aniq-ravshan
obviously,adv.,B1,aniq ravishda
occasion,n.,B1,tadbir
occur,v.,B1,sodir bo'lmoq
odd,adj.,B1,g'alati
official,adj.,B1,rasmiy
old-fashioned,adj.,B1,modadan qolgan
once,conj.,B1,…gan zahoti
operation,n.,B1,operatsiya
organized,adj.,B1,tartibli
organizer,n.,B1,tashkilotchi
original,n.,B1,asli
originally,adv.,B1,aslida
ought,modal v.,B1,"kerak, lozim"
ours,pron.,B1,bizniki
outdoor,adj.,B1,tashqariga oid
outdoors,adv.,B1,tashqari
overseas,adj.,B1,chet elga oid
pack,n.,B1,paket
package,n.,B1,posilka
painful,adj.,B1,og'riqli
pale,adj.,B1,oqargan
pan,n.,B1,tova
participate,v.,B1,qatnashmoq
particularly,adv.,B1,ayniqsa
pass,n.,B1,o'tish
passion,n.,B1,ishtiyoq
path,n.,B1,so'qmoq
payment,n.,B1,to'lov
peaceful,adj.,B1,tinch
percentage,n.,B1,foiz
perfectly,adv.,B1,mukammal tarzda
performance,n.,B1,ijro
personally,adv.,B1,shaxsan
persuade,v.,B1,ko'ndirmoq
photographer,n.,B1,suratchi
photography,n.,B1,fotosurat
pin,"n., v.",B1,to'g'nag'ich; qadamoq
pipe,n.,B1,truba
place,v.,B1,joylamoq
planning,n.,B1,rejalashtirish
pleasant,adj.,B1,yoqimli
pleasure,n.,B1,lazzat
plenty,pron.,B1,ko'p
plot,n.,B1,asosiy voqea
plus,prep.,B1,qo'shilgan
poem,n.,B1,she'r
poet,n.,B1,shoir
poetry,n.,B1,sheriyat
point,v.,B1,ko'rsatmoq
poison,"n., v.",B1,zahar; zaharlamoq
poisonous,adj.,B1,zaharli
policy,n.,B1,siyosat
political,adj.,B1,siyosiy
politician,n.,B1,siyosatchi
politics,n.,B1,siyosat
port,n.,B1,port
portrait,n.,B1,portret
possibly,adv.,B1,ehtimol
pot,n.,B1,qozon
pour,v.,B1,quymoq
poverty,n.,B1,kambag'allik
powder,n.,B1,kukun
powerful,adj.,B1,qudratli
practical,adj.,B1,amaliy
pray,v.,B1,duo qilmoq
prayer,n.,B1,duo
prediction,n.,B1,bashorat
prepared,adj.,B1,tayyor
presentation,n.,B1,prezentatsiya
press,"n., v.",B1,matbuot; bosmoq
pressure,n.,B1,bosim
pretend,v.,B1,o'zini boshqacha tutmoq
previous,adj.,B1,oldingi
previously,adv.,B1,oldingi
priest,n.,B1,ruhoniy
primary,adj.,B1,birlamchi
prince,n.,B1,shahzoda
princess,n.,B1,malika
principal,n.,B1,asosiy
printing,n.,B1,bosish
prisoner,n.,B1,maxbus
private,adj.,B1,shaxsiy
producer,n.,B1,prodyuser
production,n.,B1,mahsulot
profession,n.,B1,kasb
profit,n.,B1,foyda
program,v.,B1,programmalashtirmoq
promote,v.,B1,targ'ib qilmoq
proper,adj.,B1,munosib
properly,adv.,B1,loyiq tarzda
property,n.,B1,mol-mulk
protest,"n., v.",B1,qarshilik namoyishi; qarshilik qilmoq
proud,adj.,B1,mag'rur
prove,v.,B1,isbotlamoq
pull,n.,B1,tortish
punish,v.,B1,jazolamoq
punishment,n.,B1,jazo
push,n.,B1,itarish
qualification,n.,B1,malaka
qualified,adj.,B1,malakali
qualify,v.,B1,malakaga ega bo'lmoq
quit,v.,B1,voz kechmoq
quotation,n.,B1,iqtibos
quote,"v., n.",B1,iqtibos keltirmoq; iqtibos
race,n.,B1,irq
racing,n.,B1,poyga
raise,n.,B1,oshirish
range,n.,B1,turlilik
rare,adj.,B1,kamyob
rarely,adv.,B1,kamdan-kam
reaction,n.,B1,munosabat
reality,n.,B1,haqiqat
receipt,n.,B1,to'lov cheki
recommendation,n.,B1,tavsiya
reference,n.,B1,tavsiya
reflect,v.,B1,aks etmoq
regularly,adv.,B1,muntazam ravishda
reject,v.,B1,rad etmoq
relate,v.,B1,bog'liq bo'lmoq
related,adj.,B1,aloqador
relation,n.,B1,aloqa
relative,"adj., n.",B1,nisbiy; qarindosh
relaxed,adj.,B1,hotirjam
relaxing,adj.,B1,tinchlantiruvchi
release,"v., n.",B1,qo'yib yubormoq; chiqarilgan narsa
reliable,adj.,B1,ishonchli
religion,n.,B1,din
religious,adj.,B1,dindor
remain,v.,B1,qolmoq
remind,v.,B1,eslatmoq
remote,adj.,B1,uzoq
rent,"n., v.",B1,ijara; ijaraga olmoq
repair,n.,B1,tuzatmoq
repeat,n.,B1,takror
repeated,adj.,B1,takrorlangan
represent,v.,B1,vakil bo'lmoq
request,v.,B1,iltimos qilmoq
require,v.,B1,talab etmoq
reservation,n.,B1,buyurtma
resource,n.,B1,manba
respect,"n., v.",B1,hurmat; hurmat qilmoq
responsibility,n.,B1,mas'uliyat
responsible,adj.,B1,mas'ul
result,v.,B1,natijaga olib bormoq
retire,v.,B1,nafaqaga chiqmoq
retired,adj.,B1,nafaqaga chiqqan
revise,v.,B1,takrorlamoq
ring,n.,B1,jiringlash
risk,"n., v.",B1,tavakkal; tavakkal qilmoq
robot,n.,B1,robot
roll,"v., n.",B1,aylantirmoq; aylanish
romantic,adj.,B1,romantik
rope,n.,B1,arqon
rough,adj.,B1,dag'al
row,n.,B1,qator
royal,adj.,B1,qirollikka oid
rule,v.,B1,boshqarmoq
safety,n.,B1,xavfsizlik
sail,n.,B1,yelkan
sailor,n.,B1,sayohatchi
sample,n.,B1,namuna
sand,n.,B1,qum
scan,v.,B1,skaner qilmoq
scientific,adj.,B1,ilmiy
script,n.,B1,ssenariy
sculpture,n.,B1,haykaltaroshlik
secondary,adj.,B1,ikkinchi
security,n.,B1,xavfsizlik
seed,n.,B1,urug'
sensible,adj.,B1,dono
separate,v.,B1,ajratmoq
seriously,adv.,B1,jiddiy
servant,n.,B1,xizmatkor
set,v.,B1,o'rnatmoq
set,n.,B1,to'plam
setting,n.,B1,sozlama
sex,n.,B1,jins
sexual,adj.,B1,jinsiy
shake,n.,B1,silkitish
share,n.,B1,ulush
sharp,adj.,B1,o'tkir
shelf,n.,B1,polka
shell,n.,B1,qobiq
shift,n.,B1,smena
shine,v.,B1,charaqlamoq
shiny,adj.,B1,yarqiroq
shoot,v.,B1,otmoq
shy,adj.,B1,uyatchan
sight,n.,B1,ko'rish
signal,"n., v.",B1,belgi; ishora qilmoq
silent,adj.,B1,sokin
silly,adj.,B1,ahmoqona
similarity,n.,B1,o'xshashlik
similarly,adv.,B1,o'xshab
simply,adv.,B1,oddiygina
since,adv.,B1,dan beri
sink,v.,B1,cho'kmoq
slave,n.,B1,qul
slice,"n., v.",B1,kesilgan parcha; kesmoq
slightly,adv.,B1,biroz
slow,v.,B1,sekinlashmoq
